Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Miley Cyrus ,Flowers,6,1,6,61763072,-9016633.0,528646130
2,=,SZA ,Kill Bill,11,1,2,46549077,-2452314.0,510454785
3,+1,PinkPantheress ,Boy's a liar Pt. 2,3,3,1,39172306,7520136.0,83824655
4,-1,Bizarrap ,"Shakira: Bzrp Music Sessions, Vol. 53",7,2,3,34781301,-3881780.0,335240889
5,=,Harry Styles ,As It Was,47,1,11,29532543,-1523395.0,1924932123
6,+1,Metro Boomin ,Creepin',12,2,1,29230147,-616819.0,380263745
7,-1,Sam Smith ,Unholy,22,1,7,27517947,-3463941.0,863198401
8,=,Yandel ,Yandel 150,7,8,,24973173,-299677.0,154164942
9,=,Manuel Turizo ,La Bachata,34,4,,23186047,-672227.0,846097336
10,=,David Guetta ,I'm Good (Blue),26,2,4,22894913,-789479.0,720903885
11,+1,Rema ,Calm Down,26,9,,22203214,-774045.0,450018480
12,+4,The Weeknd ,Die For You,58,12,,21655432,381313.0,664741027
13,-2,RAYE ,Escapism.,13,10,,21473847,-1799313.0,250625247
14,-1,Taylor Swift ,Anti,18,1,3,20925576,-1110490.0,599907816
15,-1,NewJeans ,OMG,8,14,,20419626,-1174549.0,143037543
16,-1,d4vd ,Here With Me,17,14,,20191814,-1090679.0,269709676
17,+1,Ozuna ,Hey Mor,19,14,,18983116,-235623.0,348125060
18,-1,Arcángel ,La Jumpa,12,8,,18846624,-1159717.0,282157628
19,+2,Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",33,1,9,17919127,-625860.0,1038380457
20,+8,Coi Leray ,Players,5,20,,17795543,652487.0,66618243
21,-2,JVKE ,golden hour,26,14,,17765736,-915188.0,400095833
22,+1,Tom Odell ,Another Love,98,15,,17058197,-653108.0,1072313464
23,-1,Miguel ,Sure Thing,11,14,,16991063,-1351117.0,173655322
24,+5,Stephen Sanchez ,Until I Found You,12,10,,16663473,396094.0,198616434
25,-5,OneRepublic ,I Ain't Worried,38,7,,16373032,-2211391.0,735941599
26,+1,Natanael Cano ,AMG,7,26,,16356740,-820142.0,99094520
27,-1,Leo Santana ,Zona De Perigo,3,26,,16261465,-949043.0,48801286
28,+3,Arctic Monkeys ,I Wanna Be Yours,33,26,,15951368,-159770.0,431611710
29,-4,NewJeans ,Ditto,10,11,,15934711,-1586584.0,184297868
30,=,Lil Uzi Vert ,Just Wanna Rock,18,30,,15786583,-460114.0,230194102
31,-7,Peso Pluma ,PRC,4,24,,15717952,-1856316.0,64135051
32,+5,Feid ,Feliz Cumpleaños Ferxxo,27,32,,15699791,471741.0,339141750
33,+7,The Weeknd ,Starboy,139,1,6,15601507,474517.0,1441521648
34,-2,SZA ,Snooze,9,32,,15316001,-522993.0,118451875
35,+6,Fuerza Regida ,Bebe Dame,8,20,,15201406,114940.0,125135178
36,-1,Eminem ,Mockingbird,19,24,,15196907,-209884.0,293553854
37,+6,KAROL G ,X SI VOLVEMOS,3,35,,15004129,384621.0,45233004
38,=,Imagine Dragons ,Bones,50,26,,14815289,-408060.0,562367582
39,-3,Drake ,Rich Flex,16,2,1,14646592,-720675.0,364041443
40,+2,Bad Bunny ,Me Porto Bonito,42,2,1,14622515,-395978.0,1174443922
41,-2,Morgan Wallen ,Last Night,3,37,,14516966,-704669.0,45234900
42,-8,Meghan Trainor ,Made You Look,18,8,,14370739,-1285932.0,318458789
43,+2,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],12,15,,14105427,-361749.0,187833208
44,+2,d4vd ,Romantic Homicide,25,17,,13849720,-576508.0,374978264
45,+3,Quevedo ,Punto G,16,32,,13719940,-201050.0,188361944
46,+3,Carin Leon ,Que Vuelvas,8,36,,13487827,-114455.0,104587921
47,+5,The Neighbourhood ,Sweater Weather,155,19,,13430532,-9174.0,1427743967
48,+2,Chris Brown ,Under The Influence,31,6,,13325722,-256017.0,590537056
49,+2,The Kid LAROI ,Stay,85,1,12,13077399,-487577.0,2325390920
50,-6,Beyoncé ,CUFF IT,27,13,,12993495,-1573159.0,387588573
51,+17,LiL CaKe ,MERCHO,4,51,,12879888,889251.0,42409392
52,+14,Libianca ,People,6,52,,12876746,523099.0,67767164
53,+12,Feid ,CHORRITO PA LAS ANIMAS,9,53,,12731444,363756.0,97381920
54,+3,Bad Bunny ,Tití Me Preguntó,42,4,,12655670,-586258.0,1058881377
55,+6,The Weeknd ,Blinding Lights,169,1,13,12615575,19447.0,3366240558
56,+2,Tiësto ,10:35,10,55,,12558702,-544066.0,111323767
57,-1,Steve Lacy ,Bad Habit,33,10,,12458884,-790021.0,604464538
58,-4,Oliver Tree ,Miss You,20,11,,12456173,-900942.0,342384508
59,+3,Rihanna ,We Found Love,16,59,,12397140,-91128.0,41078196
60,NEW,Lil Uzi Vert ,Watch This,1,60,,12387101,,12387101
61,+6,Bad Bunny ,Ojitos Lindos,42,3,2,12215654,72674.0,908519415
62,-7,Marília Mendonça ,Leão,8,48,,12166763,-1152742.0,99739188
63,+1,Ñengo Flow ,Gato de Noche,9,25,,11795292,-624978.0,139086860
64,+5,Glass Animals ,Heat Waves,113,1,10,11794385,-168975.0,2185240259
65,-2,Rosa Linn ,SNAP,33,16,,11667334,-768277.0,497746364
66,-6,Central Cee ,LET GO,10,19,,11559919,-1208532.0,167132537
67,+4,Bad Bunny ,Efecto,42,6,,11418956,-335999.0,849883259
68,+4,Oscar Maydon ,Fin de Semana,6,51,,11070308,-305421.0,72998169
69,+6,Stephen Sanchez ,Until I Found You,42,20,,10643251,-397198.0,546576660
70,+3,ROSALÍA ,DESPECHÁ,30,5,,10598135,-762323.0,594703087
71,+8,Mahalini ,Sial,2,71,,10573564,-161070.0,21308198
72,NEW,Niall Horan ,Heaven,1,72,,10521031,,10521031
73,+9,KAROL G ,CAIRO,14,69,,10511600,-102900.0,141400741
74,+6,Joji ,Glimpse of Us,37,1,1,10338629,-302822.0,765563740
