Billie Eilish,253.0,2.089105993E9
James Arthur,289.0,1.975186494E9
Harry Styles,86.0,1.5296280663333333E9
The Neighbourhood,155.0,1.427743967E9
Elton John,80.0,1.378850227E9
Calvin Harris,110.0,1.217668756E9
Ed Sheeran,76.0,1.125481853E9
Conan Gray,135.0,1.078033507E9
Tom Odell,98.0,1.072313464E9
Vance Joy,237.0,9.95286681E8
J Balvin,105.0,9.09256317E8
Justin Bieber,75.0,8.97753962E8
OneRepublic,143.0,8.807572335E8
Bad Bunny,42.0,8.80018584E8
Manuel Turizo,34.0,8.46097336E8
J. Cole,166.0,7.73592472E8
Joji,37.0,7.6556374E8
Ruth B.,80.0,7.48909966E8
David Guetta,26.0,7.20903885E8
Bizarrap,20.0,6.86810673E8
The Walters,72.0,6.78138332E8
The Weeknd,75.0,6.72802602E8
Adele,45.0,6.49980974E8
Steve Lacy,57.0,6.175316355E8
Coldplay,70.33333333333333,6.132807726666666E8
Chris Brown,31.0,5.90537056E8
Imagine Dragons,87.33333333333333,5.795766226666666E8
Lizzo,41.0,5.75840635E8
Miley Cyrus,6.0,5.2864613E8
Arctic Monkeys,79.5,5.05167603E8
Rosa Linn,33.0,4.97746364E8
Eminem,86.2,4.910623908E8
Charlie Puth,35.0,4.90973374E8
Post Malone,38.0,4.58052202E8
Taylor Swift,33.0,4.371585983333333E8
Nicky Youre,42.0,4.27965308E8
Coolio,65.0,4.25337609E8
Sam Smith,36.666666666666664,4.08470346E8
Drake,26.0,4.02363814E8
JVKE,26.0,4.00095833E8
Sia,56.0,3.89777563E8
Beyoncé,27.0,3.87588573E8
Stephen Sanchez,27.0,3.72596547E8
Rema,29.5,3.49158299E8
Ozuna,19.0,3.4812506E8
Oliver Tree,20.0,3.42384508E8
One Direction,66.0,3.41742321E8
XXXTENTACION,51.0,3.29781521E8
d4vd,21.0,3.2234397E8
ROSALÍA,17.0,3.199669805E8
Meghan Trainor,18.0,3.18458789E8
Rauw Alejandro,28.0,3.13719414E8
BLACKPINK,23.0,3.09011461E8
KAROL G,20.333333333333332,2.925581583333333E8
Metro Boomin,12.0,2.840484765E8
Arcángel,12.0,2.82157628E8
Cigarettes After Sex,33.0,2.59888273E8
Bruno Mars,71.0,2.58875336E8
Shakira,18.0,2.50709315E8
RAYE,13.0,2.50625247E8
Mora,31.0,2.4422437E8
Beach Weather,28.0,2.42509113E8
Kordhell,28.0,2.4085532E8
Lil Nas X,22.0,2.28800611E8
Feid,21.666666666666668,2.2240835266666666E8
Grupo Frontera,21.0,2.22317139E8
SZA,11.8,2.22245806E8
Zach Bryan,24.0,2.07041579E8
Wisin & Yandel,21.0,1.91474366E8
Lady Gaga,13.0,1.77110165E8
King,14.0,1.69690979E8
LE SSERAFIM,18.0,1.69074644E8
Central Cee,10.0,1.67132537E8
NewJeans,13.0,1.6592922133333334E8
Yandel,7.0,1.54164942E8
Beach House,21.0,1.42070539E8
Ñengo Flow,9.0,1.3908686E8
Fujii Kaze,14.0,1.38138278E8
ThxSoMch,15.0,1.37409756E8
Quevedo,13.5,1.36148493E8
Keane,19.0,1.3496918E8
Israel & Rodolffo,15.0,1.28069012E8
Lil Uzi Vert,9.5,1.212906015E8
Tiësto,10.0,1.11323767E8
Lana Del Rey,14.5,1.106084555E8
Hotel Ugly,14.0,1.10429048E8
Carin Leon,8.0,1.04587921E8
Marília Mendonça,8.0,9.9739188E7
Natanael Cano,7.0,9.909452E7
Miguel,6.0,9.05598365E7
Rihanna,19.5,8.857782775E7
INTERWORLD,10.0,8.8342112E7
Cris Mj,9.0,8.7511619E7
PinkPantheress,3.0,8.3824655E7
Fuerza Regida,6.5,8.2570653E7
Sabrina Carpenter,6.0,8.0037867E7
Tory Lanez,8.0,7.9382715E7
Yuridia,10.0,7.6818745E7
Oscar Maydon,6.0,7.2998169E7
New West,8.0,6.8102543E7
Libianca,6.0,6.7767164E7
Coi Leray,5.0,6.6618243E7
Peso Pluma,4.0,6.4135051E7
The Kid LAROI,4.0,5.5824287E7
Leo Santana,3.0,4.8801286E7
Mac DeMarco,6.0,4.8679832E7
Morgan Wallen,3.0,4.52349E7
LiL CaKe,4.0,4.2409392E7
Kaifi Khalil,3.0,2.8290457E7
Linkin Park,2.0,2.5433856E7
Lazza,2.0,2.4336574E7
Mahalini,2.0,2.1308198E7
Sachin,2.0,1.9312015E7
Zé Felipe,2.0,1.9217276E7
Chino Pacas,2.0,1.8525907E7
Yng Lvcas,2.0,1.560109E7
Ayra Starr,2.0,1.5234364E7
Niall Horan,1.0,1.0521031E7
NF,1.0,1.0262206E7
Lizzy McAlpine,1.0,9862074.0
TINI,1.0,8802704.0
Grupo Marca Registrada,1.0,8739643.0
Superstar Pride,1.0,8561434.0
AgroPlay,1.0,8276916.0
Mae Stephens,1.0,8129745.0
Raim Laode,1.0,7960809.0
beabadoobee,1.0,7914985.0
Treyce,1.0,7909276.0
